body,entityname,userid,username,createdAt,entityName,address,city,country,state
🤙,Thomas M. Siebel Center for Computer Science,10212886863311893,Sujay Khandekar,2017-10-11 15:51:47.826+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
😴,San Francisco International Airport,1748667878486854,Ingrid Pan,2018-06-09 14:57:02.753+00,San Francisco International Airport,San Francisco,San Francisco,United States,California
🤵,3 Arts Club Cafe,10216061483110526,Brandon Holland,2018-03-16 04:16:09.605+00,3 Arts Club Cafe,1300 North Dearborn Street, Chicago,Chicago,United States,Illinois
🥔,Zeughauskeller,105856798281199967470,Sujay Khandekar,2018-08-08 08:16:45.402+00,Zeughauskeller,Bahnhofstrasse 28A, Zürich,ZürichSwitzerland,Zürich
😋,Signature Grill,1573926969369084,Kavya Varghese,2018-03-15 23:44:56.583+00,Signature Grill,Champaign,Champaign,United States,Illinois
📚,Murphy's Pub,1489414987817132,Varsha Subrahmanyam,2018-04-03 03:54:35.07+00,Murphy's Pub,604 East Green Street, Champaign,Champaign,United States,Illinois
🍪,BJ's Restaurant & Brewhouse,105856798281199967470,Sujay Khandekar,2019-05-13 15:53:24.57+00,BJ's Restaurant & Brewhouse,10690 North De Anza Boulevard, Cupertino,Cupertino,United States,California
🤓,Modern Times Beer,1811885595488476,Shaymus Alwan,2017-11-11 06:12:48.612+00,Modern Times Beer,3725 Greenwood Street, San Diego,San Diego,United States,California
🔥,Portillo's Hot Dogs,110784191838714593675,Chris Jankowski,2018-05-31 02:42:00.4+00,Portillo's Hot Dogs,855 Cog Circle, Crystal Lake,Crystal Lake,United States,Illinois
🍚,Lai Lai Wok,140645546625670,耿博文,2018-02-02 03:46:17.008+00,Lai Lai Wok,402 East Green Street, Champaign,Champaign,United States,Illinois
🍸,Market 17,794492160751553,Wyndham Batchelor,2017-10-02 02:45:01.504+00,Market 17,1850 Southeast 17th #109, Fort Lauderdale,Fort Lauderdale,United States,Florida
🥡,Wing Wah Restaurant,1864493876898160,Matea Zaper,2018-02-11 04:17:59.479+00,Wing Wah Restaurant,3222 Harlem Ave, Riverside,Riverside,United States,Illinois
🕐,Campus Circle Apartments,v5peK8F0fWW8v9Bs7OlRGswpUxH3,Shawn Sui,2019-09-06 17:07:57.637+00,Campus Circle Apartments,1010 West University Avenue, Urbana,Urbana,United States,Illinois
🤢,Wahoo's Tacos And More,1866615590029853,Nicky Ly,2018-02-09 20:29:25.402+00,Wahoo's Tacos And More,3180 Chestnut Street, Philadelphia,Philadelphia,United States,Pennsylvania
🥩,Outback Steakhouse,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-12-22 04:55:07.344+00,Outback Steakhouse,632 Blossom Hill Road, San Jose,San Jose,United States,California
🍳,The Grove - Yerba Buena,1650275194993086,Tyler Cartwright,2017-12-04 21:38:53.328+00,The Grove - Yerba Buena,690 Mission Street, San Francisco,San Francisco,United States,California
😀,Phi Sigma Sigma Sorority,1864493876898160,Matea Zaper,2018-04-03 06:30:13.845+00,Phi Sigma Sigma Sorority,902 South 2nd Street, Champaign,Champaign,United States,IL
🍝,Indo Cafe,801725610001395,Swati Khandekar,2018-05-12 16:37:51.961+00,Indo Cafe,14443-C Big Basin Way, Saratoga,Saratoga,United States,California
📝,Oberweis Ice Cream and Dairy Store,849156475252964,Alyssa Chen,2018-05-07 18:34:57.222+00,Oberweis Ice Cream and Dairy Store,1905 S Neil St, Champaign,Champaign,United States,Illinois
🏡,Kempegowda International Airport,105541935333594264230,usha shree,2018-05-16 18:24:10.046+00,Kempegowda International Airport,KIAL Rd, Devanahalli, Bengaluru,Gangamuthanahalli,India,Karnataka
💃,Hollywood,1660353924016921,Olivia Gatti,2018-03-05 02:00:02.805+00,Hollywood,Los Angeles,Los Angeles,United States,California
👌,BrewLab Coffee,1529368180503424,Kabir Manghnani,2018-09-15 18:35:18.51+00,BrewLab Coffee,630 South 5th Street, Champaign,Champaign,United States,Illinois
💯,Stumptown Coffee Roasters,878293195646842,Joe Higgs,2018-03-24 16:51:36.586+00,Stumptown Coffee Roasters,311 N Morgan St, Chicago,Chicago,United States,Illinois
🙂,Hunan West,1747013638673296,Jacqueline Talton,2018-05-26 23:53:27.243+00,Hunan West,8938 Burke Lake Road, Springfield,Springfield,United States,Virginia
🙌,The Halal Guys,10210528750468531,Jewel Pi,2017-12-22 19:13:24.72+00,The Halal Guys,3570 South Las Vegas Boulevard, Las Vegas,Las Vegas,United States,Nevada
🍤,Sushi Kashiba,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-11-27 05:44:08.877+00,Sushi Kashiba,86 Pine Street #1, Seattle,Seattle,United States,Washington
🍤,Sakanaya Restaurant,1720951507964911,Elena Gatti,2018-02-20 04:42:22.531+00,Sakanaya Restaurant,403 East Green Street, Champaign,Champaign,United States,Illinois
🥞,Merry Ann's Diner (on Campus),1898612533778623,Lindsay Huang,2018-06-06 23:20:38.145+00,Merry Ann's Diner (on Campus),701 South Gregory Street c, Urbana,Urbana,United States,Illinois
🌿,Moda Milano Boutique,106173579224565293482,Kala Shivaramaiah,2018-04-27 20:22:20.22+00,Moda Milano Boutique,1195 Place Phillips, Montréal,Montréal,Canada,Québec
😋,TeaTop,10210528750468531,Jewel Pi,2018-02-23 05:27:32.771+00,TeaTop,6158 Bollinger Rd, San Jose,San Jose,United States,California
🍵,Fantasia Coffee & Tea,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-12-24 16:53:58.507+00,Fantasia Coffee & Tea,378 Santana Row, San Jose,San Jose,United States,California
🍜,Gabose Pocha,10203814544039457,James Childress,2017-12-28 07:39:17.541+00,Gabose Pocha,4933 North University Drive, Lauderhill,Lauderhill,United States,Florida
🍧,La Vita E Bella,MlrbYFYV9odhB5MKMXEHXAtdHYw1,Ding Ding Ding,2018-12-22 16:51:41.976+00,La Vita E Bella,2411 2nd Avenue, Seattle,Seattle,United States,Washington
😝,Purple Passion/DV8,108032751776815363988,Jerry Talton,2017-11-05 01:39:33.271+00,Purple Passion/DV8,211 West 20th Street, New York,New YorkUnited States,New York
👍,TacoCraft - Taqueria & Taquila Bar,794492160751553,Wyndham Batchelor,2017-12-02 00:16:55.258+00,TacoCraft - Taqueria & Taquila Bar,5829 Southwest 73rd Street, South Miami,Miami,United States,Florida
🚓,Parliament Square Garden,105541935333594264230,usha shree,2019-03-15 20:56:40.875+00,Parliament Square Garden,London,,United Kingdom,England
🍏,Caffè Macs,10212391291791338,Jinda Han,2018-07-10 01:55:39.55+00,Caffè Macs,20625 Alves Dr, Cupertino,Cupertino,United States,California
🍅,O'Charley’s Restaurant & Bar,xkUdubkt3Cgfn7peWTWTEejSvmm1,Hang Yuan,2018-09-30 00:35:12.969+00,O'Charley’s Restaurant & Bar,730 West Town Center Boulevard, Champaign,Champaign,United States,Illinois
🍵,Latea Bubble Tea Lounge,1425689854196183,Sunaya Kumar,2018-04-21 04:22:35.569+00,Latea Bubble Tea Lounge,601 South 6th Street #105, Champaign,Champaign,United States,Illinois
🤩,San Jose,106173579224565293482,Kala Shivaramaiah,2019-03-30 06:44:54.697+00,San Jose,San Jose,San Jose,United States,California
🍻,Coco Bongo,849156475252964,Alyssa Chen,2018-03-22 17:17:21.469+00,Coco Bongo,Boulevard Kukulcan Km. 9.5, Zona Hotelera, Cancún,Cancún,Mexico,Quintana Roo
🍆,Parm Battery Park City,105856798281199967470,Sujay Khandekar,2018-07-13 17:06:49.172+00,Parm Battery Park City,250 Vesey Street, New York,New YorkUnited States,New York
🍜,Hankook Supermarket,10210528750468531,Jewel Pi,2017-11-13 05:30:34.889+00,Hankook Supermarket,1092 East El Camino Real, Sunnyvale,Sunnyvale,United States,California
🏜,San Jose Diridon Station,10155351902975735,Ruta Lele,2018-03-28 14:56:08.096+00,San Jose Diridon Station,65 Cahill St, San Jose,San Jose,United States,CA
🧀,Einstein Bros. Bagels,106173579224565293482,Kala Shivaramaiah,2019-07-17 18:24:26.332+00,Einstein Bros. Bagels,901 West University Avenue, Urbana,Urbana,United States,Illinois
💛,그릴밥상,904147553087729,Charis Ryu,2018-05-16 09:13:15.799+00,그릴밥상,524-1 Sinsa-dong, Gangnam-gu,Seoul,South Korea,
😎,La Perle du Lac,105856798281199967470,Sujay Khandekar,2018-08-15 13:30:29.298+00,La Perle du Lac,126, Rue de Lausanne, Genève,GenèveSwitzerland,Genève
🚗,Pennsylvania Station,10155200088205955,Ranjitha Kumar,2018-06-21 14:52:24.63+00,Pennsylvania Station,New YorkNew YorkUnited States,New York
🤤,Mr Zee's,1760092214030588,Laurece Omar Vazquez,2018-07-13 00:39:29.859+00,Mr Zee's,3958 North Narragansett Avenue, Chicago,Chicago,United States,Illinois
💻,Sidney Pacific Graduate Residence,FsTAzsALKxbZnvkEsGJYudXIaR83,Doğa Doğan,2018-12-05 03:43:09.628+00,Sidney Pacific Graduate Residence,70 Pacific Street, Cambridge,Cambridge,United States,Massachusetts
💦,Domino's Pizza,111534558495390221098,Rafe Batchelor,2018-01-30 04:42:40.182+00,Domino's Pizza,7495 Westbranch Highway Unit 8, Lewisburg,Lewisburg,United States,Pennsylvania
💡,Bourbon & Branch,108032751776815363988,Jerry Talton,2018-08-11 06:01:31.414+00,Bourbon & Branch,501 Jones St, San Francisco,San Francisco,United States,California
🍜,Jang Su Jang,10212391291791338,Jinda Han,2018-07-02 22:53:05.609+00,Jang Su Jang,3561 El Camino Real #10, Santa Clara,Santa Clara,United States,California
🍗,Pollos & Jarras,794492160751553,Wyndham Batchelor,2018-03-20 16:08:33.485+00,Pollos & Jarras,115 NE 3rd Ave, Miami,Miami,United States,Florida
🤨,GQT Savoy 16 IMAX,Ewn4OjsEMRTTCXlV0oi5HNS37nN2,Maggie Metzger Chappell,2018-04-30 00:12:09.116+00,GQT Savoy 16 IMAX,232 Burwash Avenue, Savoy,Savoy,United States,Illinois
🍺,Murphy's Pub,10213808361379554,Kanishk Thareja,2017-11-09 02:00:38.451+00,Murphy's Pub,604 East Green Street, Champaign,Champaign,United States,Illinois
🍦,Davey's Ice Cream,105856798281199967470,Sujay Khandekar,2018-07-17 01:55:41.181+00,Davey's Ice Cream,137 1st Avenue, New York,New YorkUnited States,New York
😋,Hot Wok Express,110478412661569610356,cynthia coleman,2018-08-27 18:00:06.235+00,Hot Wok Express,1102 West University Avenue, Urbana,Urbana,United States,Illinois
😭,Stockholm Arlanda Airport,1726108570780522,Shivali Patel,2018-05-31 10:35:13.152+00,Stockholm Arlanda Airport,Stockholm-Arlanda,,Sweden,Stockholms län
🍵,Cha Cha Matcha,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-11-05 20:30:17.846+00,Cha Cha Matcha,1158 Broadway, New York,New YorkUnited States,New York
😍,Palais des Congrès in Montreal,dbGwVTbywNULTYwqEJW7kaiPXEY2,Andrés Monroy-Hernández,2018-04-24 00:20:07.264+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
🧀,Mayfield Bakery & Cafe,106173579224565293482,Kala Shivaramaiah,2018-03-18 01:43:03.039+00,Mayfield Bakery & Cafe,855 El Camino Real, Palo Alto,Palo Alto,United States,California
📱,530 W Griggs St,4fSiQkmyzzSrHMcu6b221awqU6j1,Yasemin Cicek,2018-10-17 08:07:17.029+00,530 W Griggs St,Urbana,Urbana,United States,Illinois
😋,SGS NONVEG GUNDU PALAV - Malgudi Ventures,yqAhzpXIVWSk9Ko3paHUmNWomFp1,Chandana Chandu,2018-05-16 04:05:31.828+00,SGS NONVEG GUNDU PALAV - Malgudi Ventures,NO. 91B, IDEAL HOME CIRCLE, NANJAPPA COMPLEX, RAJARAJESHWARI NAGAR, Bengaluru,Bengaluru,India,Karnataka
🍜,LA Crawfish,10156570523047519,Destiny Westbrook,2018-01-05 00:37:40.55+00,LA Crawfish,3957 Richmond Avenue, Houston,Houston,United States,Texas
📙,Illini Union,rUajRYY99ddR5GFKMkWOdw7LAKD3,Vivek Bhookya,2019-04-25 22:22:22.033+00,Illini Union,1401 West Green Street, Urbana,Urbana,United States,Illinois
📝,Thomas M. Siebel Center for Computer Science,10214668114513465,Colin Robertson,2018-02-17 20:36:59.34+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
👫,Papa Ricco's Restaurant & Pizzeria,149333212339665,Mary Barone,2018-08-01 23:22:11.483+00,Papa Ricco's Restaurant & Pizzeria,14415 S Dixie Hwy, Miami,Palmetto Bay,United States,Florida
🥞,Roscoe's House of Chicken and Waffles,10156074801518874,Stephanie Raelene Herrera,2018-02-16 21:41:55.277+00,Roscoe's House of Chicken and Waffles,2110 S Harbor Blvd, Anaheim,Anaheim,United States,California
🍕,Achleiten Stube,10155200088205955,Ranjitha Kumar,2018-06-03 12:27:26.658+00,Achleiten Stube,Kremser Straße 5, Weißenkirchen in der Wachau,Weißenkirchen in der Wachau,Austria,Niederösterreich
🍩,Aroma Cafe,100162404055730,Opico Alpaca,2017-10-23 18:23:58.248+00,Aroma Cafe,118 North Neil Street, Champaign,Champaign,United States,Illinois
🍩,Papa Del's,106173579224565293482,Kala Shivaramaiah,2018-12-10 23:59:35.928+00,Papa Del's,1201 South Neil Street, Champaign,Champaign,United States,Illinois
🙂,Alexander's Steakhouse,10210528750468531,Jewel Pi,2018-03-04 04:10:44.382+00,Alexander's Steakhouse,19379 Stevens Creek Boulevard, Cupertino,Cupertino,United States,California
💦,Carmel by the sea,106173579224565293482,Kala Shivaramaiah,2018-09-02 02:36:51.51+00,Carmel by the sea,800 Ocean Avenue, Carmel-by-the-Sea,Carmel-by-the-Sea,United States,California
👀,The Balmoral, Edinburgh,108032751776815363988,Jerry Talton,2019-05-12 17:48:15.305+00,The Balmoral, Edinburgh,1 Princes Street, Edinburgh,,United Kingdom,Scotland
🦊,The Wiley Fox,z1voXHUzQHMRlphnQP0KpBSgPim2,Keith Broni,2018-07-15 19:02:07.725+00,The Wiley Fox,28 Eden Quay, North City, Dublin,Dublin,Ireland,County Dublin
🛬,Seattle-Tacoma International Airport,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2019-02-19 01:47:34.615+00,Seattle-Tacoma International Airport,17801 International Boulevard, Seattle,SeaTac,United States,Washington
🍦,Jarling's Custard Cup,10212391291791338,Jinda Han,2018-01-13 06:13:22.035+00,Jarling's Custard Cup,309 West Kirby Avenue, Champaign,Champaign,United States,Illinois
🤳,Mortonhall Caravan & Camping Park,106173579224565293482,Kala Shivaramaiah,2019-03-12 22:34:23.765+00,Mortonhall Caravan & Camping Park,38 Mortonhall Gate, Frogston Road, Edinburgh,,United Kingdom,Scotland
🔮,Courtyard by Marriott Merced,K1h9GOceX3Pj7vF9tgP7FIGR9903,Eric Paulos,2019-04-11 04:30:42.388+00,Courtyard by Marriott Merced,750 Motel Drive, Merced,Merced,United States,California
🔜,Legends,105856798281199967470,Sujay Khandekar,2018-03-31 03:01:01.977+00,Legends,522 East Green Street, Champaign,Champaign,United States,Illinois
🐓,Juerga Tapas & Wine,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-13 06:07:50.304+00,Juerga Tapas & Wine,3250 Zanker Road #40, San Jose,San Jose,United States,California
🤗,Star of Siam,10159158025280648,Martin David,2018-01-20 05:12:09.825+00,Star of Siam,11 East Illinois Street #1, Chicago,Chicago,United States,Illinois
🆒,Pollos & Jarras,794492160751553,Wyndham Batchelor,2018-03-20 16:08:33.485+00,Pollos & Jarras,115 NE 3rd Ave, Miami,Miami,United States,Florida
🌶,Buffalo Wild Wings,10212391291791338,Jinda Han,2018-05-03 03:35:03.215+00,Buffalo Wild Wings,1335 Savoy Plaza Lane, Savoy,Savoy,United States,Illinois
🍻,Brothers Bar & Grill,1695707747139533,Ben Dalgarn,2018-03-07 18:27:44.37+00,Brothers Bar & Grill,1234 N Eddy St #125, South Bend,South Bend,United States,Indiana
😊,O'Hare International Airport,10155200088205955,Ranjitha Kumar,2018-09-07 22:31:58.392+00,O'Hare International Airport,10000 W O'Hare Ave, Chicago,Chicago,United States,Illinois
👌,Chapter,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2019-05-26 06:44:02.166+00,Chapter,11-12 Burgate, Canterbury,,United Kingdom,England
🍾,August,10209402552695319,Ryan Puszka,2018-02-28 18:14:53.483+00,August,301 Tchoupitoulas St, New Orleans,New Orleans,United States,Louisiana
🤬,Taco Bell,116401275892424656095,Max Cooper,2018-03-10 20:06:50.268+00,Taco Bell,1003 West University Avenue, Urbana,Urbana,United States,Illinois
🔉,Jerusalem Middle Eastern Cuisine,10215323205660534,Austin Sun,2017-12-11 17:27:53.07+00,Jerusalem Middle Eastern Cuisine,601 South Wright Street, Champaign,Champaign,United States,Illinois
🍨,Ted Drewes Frozen Custard,395494837568437,Zifei Feng,2018-03-21 19:18:54.944+00,Ted Drewes Frozen Custard,6726 Chippewa St, St. Louis,St. Louis,United States,Missouri
🦀,Tang Dynasty Restaurant,10212391291791338,Jinda Han,2018-01-13 06:22:45.697+00,Tang Dynasty Restaurant,300 South Broadway Avenue, Urbana,Urbana,United States,Illinois
🙁,Ruby's Taqueria,10210528750468531,Jewel Pi,2018-02-04 01:37:20.285+00,Ruby's Taqueria,821 Borregas Avenue, Sunnyvale,Sunnyvale,United States,California
🥞,Uptown Kitchen,361816177630471,Thomas Mologne,2018-03-09 17:29:14.145+00,Uptown Kitchen,7225 Heritage Square Drive #208, Granger,Granger,United States,Indiana
🍫,Chicago Diner,113065170374561083115,Isabella Maki,2018-04-14 21:29:02.649+00,Chicago Diner,3411 North Halsted Street, Chicago,Chicago,United States,IL
🗣,Hasso Plattner Institute,10155200088205955,Ranjitha Kumar,2018-10-14 09:36:00.361+00,Hasso Plattner Institute,Prof.-Dr.-Helmert-Straße 2-3, Potsdam,Potsdam,Germany,Brandenburg
😴,Foellinger Auditorium,yfQw5nZ5WtbGjXSR4TuXjykfmal1,Ankit Kumar,2018-08-21 16:41:35.112+00,Foellinger Auditorium,709 South Mathews Avenue, Urbana,Urbana,United States,Illinois
🌊,La Scogliera,10203814544039457,James Childress,2018-04-01 21:33:01.15+00,La Scogliera,Via Renato Birolli, 103, Manarola, Riomaggiore,Manarola,Italy,Liguria
🍔,Small Cheval,10216061483110526,Brandon Holland,2018-03-19 17:58:53.565+00,Small Cheval,1732 N Milwaukee Ave, Chicago,Chicago,United States,Illinois
🤑,Grovestone,10155200088205955,Ranjitha Kumar,2018-01-14 18:51:58.999+00,Grovestone,1707 West Kirby Avenue, Champaign,Champaign,United States,Illinois
🆒,Trident Hotel, Nariman Point Mumbai,10203191900074104,Sunil Khandekar,2018-02-20 03:36:55.75+00,Trident Hotel, Nariman Point Mumbai,CR 2 Nariman Point, Netaji Subhash Chandra Bose Road, Mumbai,Mumbai,India,Maharashtra
🌲,Paesano Pizza,10155200088205955,Ranjitha Kumar,2019-03-09 20:47:48.758+00,Paesano Pizza,94 Miller Street, Glasgow,,United Kingdom,Scotland
🥞,Cafe 13,110090767296080837527,Eman Zwawi,2018-03-24 06:16:58.711+00,Cafe 13,13 N Vermilion St, Danville,Danville,United States,Illinois
🥗,sweetgreen,1748667878486854,Ingrid Pan,2018-04-06 01:14:07.078+00,sweetgreen,2460 Broadway, New York,New YorkUnited States,New York
🍄,Le Coq Rico,10155200088205955,Ranjitha Kumar,2018-01-10 04:42:33.27+00,Le Coq Rico,30 East 20th Street, New York,New YorkUnited States,New York
🌿,The High Line,10155200088205955,Ranjitha Kumar,2017-08-31 21:05:11.944+00,The High Line,New YorkNew YorkUnited States,New York
🥩,Sanabel,fFuPufrCxpOCGKyt0flhF2pBxMZ2,Yara Hussein,2018-05-26 17:19:15.227+00,Sanabel,2946 Chain Bridge Rd O, Oakton,Oakton,United States,Virginia
🌸,Champaign,10155200088205955,Ranjitha Kumar,2019-06-10 17:10:06.028+00,Champaign,Champaign,Champaign,United States,Illinois
🐓,Thai Grata Restaurant,106173579224565293482,Kala Shivaramaiah,2018-05-23 17:23:52.322+00,Thai Grata Restaurant,846 Blossom Hill Road, San Jose,San Jose,United States,California
🤩,Santana Row,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-12-24 16:50:15.933+00,Santana Row,San Jose,San Jose,United States,California
😋,Arte,105856798281199967470,Sujay Khandekar,2018-08-11 11:38:48.587+00,Arte,Suikerrui 24, Antwerpen,Antwerpen,Belgium,Vlaanderen
🎤,Thomas M. Siebel Center for Computer Science,10155200088205955,Ranjitha Kumar,2018-11-10 18:40:12.397+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
😵,Heathrow Airport,106173579224565293482,Kala Shivaramaiah,2018-10-13 21:10:05.478+00,Heathrow Airport,Longford,Longford,United Kingdom,England
🍕,Union Squared,878293195646842,Joe Higgs,2017-10-27 19:45:08.665+00,Union Squared,125 South Clark Street, Chicago,Chicago,United States,Illinois
